Timestamp,Total_Faces,Attentive,Attention_%
11:44:45,3,0,0
11:44:46,1,0,0
11:44:47,1,1,100
11:44:48,0,0,0
11:44:49,0,0,0
11:44:50,0,0,0
11:44:52,2,0,0
11:44:53,2,1,50
11:44:54,2,1,50
11:44:55,2,1,50
11:44:56,1,1,100
11:44:57,1,1,100
11:44:58,1,1,100
11:44:59,1,1,100
11:45:00,1,0,0
11:45:01,1,1,100
11:45:02,1,1,100
11:45:03,1,1,100
11:45:04,1,1,100
11:45:05,1,1,100
11:45:06,1,1,100
11:45:07,1,1,100
11:45:08,2,1,50
11:45:09,1,1,100
11:45:10,1,1,100
11:45:11,1,1,100
11:45:12,0,0,0
11:45:13,0,0,0
11:45:14,1,0,0
11:45:15,1,0,0
11:45:16,0,0,0
11:45:17,1,0,0
11:45:18,1,0,0
11:45:19,1,0,0
11:45:20,1,0,0
11:45:22,1,1,100
11:45:23,1,1,100
11:45:24,1,0,0
11:45:25,1,0,0
11:45:26,1,0,0
11:45:27,1,0,0
11:45:28,2,1,50
11:45:29,2,1,50
11:45:30,2,1,50
11:45:31,2,1,50
11:45:32,2,2,100
11:45:33,2,1,50
11:45:34,2,1,50
11:45:35,2,0,0
11:45:36,2,1,50
11:45:37,2,0,0
11:45:38,1,0,0
11:45:39,2,0,0
11:45:40,2,1,50
11:45:41,2,0,0
11:45:42,1,1,100
11:45:43,2,2,100
11:45:44,2,1,50
11:45:45,1,0,0
11:45:46,1,0,0
11:45:47,1,0,0
